地址,經度,緯度
               台北市文山區萬美里萬寧街1~30號,121.570149,25.0042365
      台北市信義區富台里忠孝東路5段295巷6弄1~30號,121.572415,25.0416146
             台北市中山區新生北路1段91~120號,121.5323976,25.0463313
             台北市文山區明興里興隆路4段1~30號,121.560075,24.989318
       台北市士林區天福里1鄰忠誠路2段130巷1~30號,121.5318607,25.1140875
               台北市文山區萬美里萬寧街1~30號,121.5842638,24.99182226
      台北市信義區富台里忠孝東路5段295巷6弄1~30號,121.5737379,25.04079745
             台北市中山區新生北路1段91~120號,121.5484835,25.07311455
             台北市文山區明興里興隆路4段1~30號,121.5842638,24.99182226
       台北市士林區天福里1鄰忠誠路2段130巷1~30號,121.5612886,25.1289048
           台北市萬華區糖?里大理街159巷1~30號,121.5737379,25.04079745
           台北市萬華區糖?里大理街159巷1~30號,121.5737379,25.04079745
               台北市中山區吉林路121~150號,121.5484835,25.07311455
        台北市信義區五常里永吉路225巷32弄1~30號,121.5737379,25.04079745
              台北市士林區明勝里通河街31~60號,121.5612886,25.1289048
            台北市中山區南京東路3段181~210號,121.5484835,25.07311455
              台北市萬華區大理街159巷1~30號,121.5737379,25.04079745
           台北市萬華區糖?里大理街159巷1~30號,121.5737379,25.04079745
            台北市北投區吉慶里實踐街56巷1~30號,121.5282024,25.15136446
         台北市中正區忠勤里中華路2段311巷1~30號,121.5302879,25.03549869
           台北市文山區興福里12鄰景華街61~90號,121.5842638,24.99182226
             台北市信義區雅祥里基隆路1段1~30號,121.5737379,25.04079745
           台北市中正區水源里汀州路3段91~120號,121.5302879,25.03549869
              台北市文山區萬芳里萬芳路31~60號,121.5842638,24.99182226
            台北市文山區萬美里萬美街1段61~90號,121.5842638,24.99182226
               台北市內湖區港華里港華街1~30號,121.5737379,25.04079745
               台北市中山區樂群二路91~120號,121.5484835,25.07311455
           台北市松山區民權東路3段106巷1~30號,121.5679293,25.06295685
            台北市信義區福德街373巷91~120號,121.5737379,25.04079745
              台北市萬華區萬大路387巷1~30號,121.5737379,25.04079745
       台北市大安區龍雲里4鄰大安路2段132巷1~30號,121.553725,25.0301506
             台北市松山區光復南路22巷31~60號,121.5679293,25.06295685
           台北市松山區健康路325巷18弄1~30號,121.5679293,25.06295685
                 台北市萬華區青年路31~60號,121.5737379,25.04079745
              台北市松山區富錦街572巷1~30號,121.5679293,25.06295685
         台北市萬華區和平西路3段382巷2弄1~30號,121.5737379,25.04079745
               台北市松山區饒河街181~210號,121.5679293,25.06295685
          台北市南港區舊莊街1段290巷1弄1~30號,121.6199637,25.03896698
         台北市南港區九如里研究院路3段18巷1~30號,121.6199637,25.03896698
         台北市內湖區民權東路6段296巷91~120號,121.5737379,25.04079745
               台北市大安區市民大道4段1~30號,121.553725,25.0301506
              台北市松山區敦化南路2段31~60號,121.5679293,25.06295685
           台北市信義區國業里松德路25巷31~60號,121.5737379,25.04079745
         台北市文山區明義里興隆路4段46巷31~60號,121.5842638,24.99182226
            台北市中正區羅斯福路4段52巷1~30號,121.5302879,25.03549869
            台北市中正區羅斯福路4段52巷1~30號,121.5302879,25.03549869
              台北市萬華區桂林路242巷1~30號,121.5737379,25.04079745
           台北市萬華區西園路2段320巷61~90號,121.5737379,25.04079745
            台北市大安區通化里通化街19巷1~30號,121.553725,25.0301506
     台北市信義區富台里忠孝東路5段295巷6弄31~60號,121.5737379,25.04079745
            台北市大同區蓬萊里昌吉街50巷1~30號,121.5236461,25.06707618
            台北市南港區三重里重陽路511~540號,121.6199637,25.03896698
       台北市萬華區柳鄉里1鄰桂林路242巷6弄1~30號,121.5737379,25.04079745
              台北市中山區吉林路379巷1~30號,121.5484835,25.07311455
        台北市士林區百齡里21鄰通河東街1段61~90號,121.5612886,25.1289048
            台北市中山區中山北路1段53巷1~30號,121.5484835,25.07311455
          台北市大同區揚雅里承德路3段90巷1~30號,121.5236461,25.06707618
             台北市大安區龍安里青田街5巷1~30號,121.553725,25.0301506
               台北市中山區北安路571~600號,121.5484835,25.07311455
            台北市中正區龍光里和平西路2段1~30號,121.5302879,25.03549869
      台北市文山區萬興里21鄰秀明路2段115巷1~30號,121.5842638,24.99182226
               台北市萬華區梧州街60巷1~30號,121.5737379,25.04079745
               台北市萬華區民和街55巷1~30號,121.5737379,25.04079745
              台北市大同區酒泉街103巷1~30號,121.5236461,25.06707618
          台北市中正區水源里羅斯福路4段91~120號,121.5302879,25.03549869
          台北市內湖區西康里4鄰文湖街11巷1~30號,121.5737379,25.04079745
               台北市中山區中山北路2段1~30號,121.5484835,25.07311455
             台北市中山區民生東路3段9巷1~30號,121.5484835,25.07311455
              台北市文山區景興路238巷1~30號,121.5842638,24.99182226
              台北市文山區景興路238巷1~30號,121.5842638,24.99182226
            台北市南港區東明里興華路64巷1~30號,121.6199637,25.03896698
      台北市大安區錦泰里15鄰金山南路2段121~150號,121.553725,25.0301506
              台北市文山區景興路238巷1~30號,121.5842638,24.99182226
            台北市內湖區東湖里康樂街48巷18-1號,121.5737379,25.04079745
               台北市松山區延壽街121~150號,121.5679293,25.06295685
      台北市信義區富台里忠孝東路5段423巷5弄1~30號,121.5737379,25.04079745
    台北市信義區廣居里忠孝東路5段372巷27弄61~90號,121.5737379,25.04079745
               台北市南港區重陽路57巷1~30號,121.6199637,25.03896698
              台北市北投區中心里中和街31~60號,121.5282024,25.15136446
         台北市松山區敦化北路199巷100弄1~30號,121.5679293,25.06295685
