編號,案類,發生(現)日期,發生時段,發生(現)地點
1,住宅竊盜,1040101,00~02,台北市文山區萬美里萬寧街1~30號
2,住宅竊盜,1040101,00~02,台北市信義區富台里忠孝東路5段295巷6弄1~30號
3,住宅竊盜,1040101,06~08,台北市中山區新生北路1段91~120號
4,住宅竊盜,1040101,10~12,台北市文山區明興里興隆路4段1~30號
5,住宅竊盜,1040101,12~14,台北縣新莊市思源路332巷1~30號
6,住宅竊盜,1040102,00~02,台北市士林區天福里1鄰忠誠路2段130巷1~30號
7,住宅竊盜,1040102,06~08,台北市萬華區糖?里大理街159巷1~30號
8,住宅竊盜,1040102,06~08,台北市萬華區糖?里大理街159巷1~30號
9,住宅竊盜,1040102,10~12,台北市中山區吉林路121~150號
10,住宅竊盜,1040104,10~12,台北市信義區五常里永吉路225巷32弄1~30號
11,住宅竊盜,1040104,12~14,台北市士林區明勝里通河街31~60號
12,住宅竊盜,1040104,14~16,台北縣三重市仁美街1~30號
13,住宅竊盜,1040104,14~16,桃園縣大溪鎮埔頂路1段1~30號
14,住宅竊盜,1040105,00~02,台北市中山區南京東路3段181~210號
15,住宅竊盜,1040105,04~06,台北市萬華區大理街159巷1~30號
16,住宅竊盜,1040105,04~06,台北市萬華區糖?里大理街159巷1~30號
17,住宅竊盜,1040105,12~14,台北市北投區吉慶里實踐街56巷1~30號
18,住宅竊盜,1040105,16~18,台北市中正區忠勤里中華路2段311巷1~30號
19,住宅竊盜,1040105,18~20,台北市文山區興福里12鄰景華街61~90號
20,住宅竊盜,1040106,04~06,台北市信義區雅祥里基隆路1段1~30號
21,住宅竊盜,1040106,16~18,台北市中正區水源里汀州路3段91~120號
22,住宅竊盜,1040107,12~14,台北縣汐止市湖前街110巷97弄1~30號
23,住宅竊盜,1040107,16~18,台北市文山區萬芳里萬芳路31~60號
24,住宅竊盜,1040108,08~10,台北市文山區萬美里萬美街1段61~90號
25,住宅竊盜,1040109,10~12,台北市內湖區港華里港華街1~30號
26,住宅竊盜,1040109,12~14,台北市中山區樂群二路91~120號
27,住宅竊盜,1040109,16~18,台北市松山區民權東路3段106巷1~30號
28,住宅竊盜,1040110,00~02,台中市北屯區松義街151~180號
29,住宅竊盜,1040110,04~06,台北市信義區福德街373巷91~120號
30,住宅竊盜,1040111,08~10,台北市萬華區萬大路387巷1~30號
31,住宅竊盜,1040112,08~10,台北市大安區龍雲里4鄰大安路2段132巷1~30號
32,住宅竊盜,1040112,18~20,台北市松山區光復南路22巷31~60號
33,住宅竊盜,1040112,20~22,台北市松山區健康路325巷18弄1~30號
34,住宅竊盜,1040113,10~12,台北市萬華區青年路31~60號
35,住宅竊盜,1040114,08~10,台北市松山區富錦街572巷1~30號
36,住宅竊盜,1040114,16~18,台北市萬華區和平西路3段382巷2弄1~30號
37,住宅竊盜,1040115,00~02,台北市松山區饒河街181~210號
38,住宅竊盜,1040115,06~08,台北市南港區舊莊街1段290巷1弄1~30號
39,住宅竊盜,1040115,06~08,台北市南港區九如里研究院路3段18巷1~30號
40,住宅竊盜,1040115,10~12,台北市內湖區民權東路6段296巷91~120號
41,住宅竊盜,1040115,12~14,台北市大安區市民大道4段1~30號
42,住宅竊盜,1040116,10~12,台北市松山區敦化南路2段31~60號
43,住宅竊盜,1040117,08~10,台北市信義區國業里松德路25巷31~60號
44,住宅竊盜,1040117,12~14,台北市文山區明義里興隆路4段46巷31~60號
45,住宅竊盜,1040117,18~20,台北市中正區羅斯福路4段52巷1~30號
46,住宅竊盜,1040117,18~20,台北市中正區羅斯福路4段52巷1~30號
47,住宅竊盜,1040118,02~04,台北市萬華區桂林路242巷1~30號
48,住宅竊盜,1040118,06~08,台北市萬華區西園路2段320巷61~90號
49,住宅竊盜,1040118,10~12,台北市大安區通化里通化街19巷1~30號
50,住宅竊盜,1040118,20~22,台北市信義區富台里忠孝東路5段295巷6弄31~60號
51,住宅竊盜,1040119,06~08,台北市大同區蓬萊里昌吉街50巷1~30號
52,住宅竊盜,1040120,18~20,台北市南港區三重里重陽路511~540號
53,住宅竊盜,1040121,08~10,台北市萬華區柳鄉里1鄰桂林路242巷6弄1~30號
54,住宅竊盜,1040121,20~22,台北市中山區吉林路379巷1~30號
55,住宅竊盜,1040121,20~22,台北市士林區百齡里21鄰通河東街1段61~90號
56,住宅竊盜,1040121,22~24,台北市中山區中山北路1段53巷1~30號
57,住宅竊盜,1040122,10~12,台北市大同區揚雅里承德路3段90巷1~30號
58,住宅竊盜,1040122,16~18,台北市大安區龍安里青田街5巷1~30號
59,住宅竊盜,1040123,12~14,台北縣新店市安祥路147巷1~30號
60,住宅竊盜,1040123,14~16,台北市中山區北安路571~600號
61,住宅竊盜,1040123,14~16,台北市中正區龍光里和平西路2段1~30號
62,住宅竊盜,1040123,18~20,台北市文山區萬興里21鄰秀明路2段115巷1~30號
63,住宅竊盜,1040124,10~12,台北市萬華區梧州街60巷1~30號
64,住宅竊盜,1040126,02~04,台北市萬華區民和街55巷1~30號
65,住宅竊盜,1040126,08~10,台北市大同區酒泉街103巷1~30號
66,住宅竊盜,1040126,18~20,台北市中正區水源里羅斯福路4段91~120號
67,住宅竊盜,1040126,20~22,台北市內湖區西康里4鄰文湖街11巷1~30號
68,住宅竊盜,1040127,02~04,台北市中山區中山北路2段1~30號
69,住宅竊盜,1040127,06~08,台北市中山區民生東路3段9巷1~30號
70,住宅竊盜,1040127,10~12,台北市文山區景興路238巷1~30號
71,住宅竊盜,1040127,10~12,台北市文山區景興路238巷1~30號
72,住宅竊盜,1040127,14~16,台北市南港區東明里興華路64巷1~30號
73,住宅竊盜,1040127,16~18,台北市大安區錦泰里15鄰金山南路2段121~150號
74,住宅竊盜,1040127,16~18,台北市文山區景興路238巷1~30號
75,住宅竊盜,1040128,14~16,台北市內湖區東湖里康樂街48巷18-1號
