地址,經度,緯度
台北市文山區萬美里萬寧街1~30號,121.570149,25.0042365
,,
台北市信義區富台里忠孝東路5段295巷6弄1~30號,121.5725583,25.0420382
,,
台北市中山區新生北路1段91~120號,121.5323976,25.0463313
,,
台北市文山區明興里興隆路4段1~30號,121.560075,24.989318
,,
台北市士林區天福里1鄰忠誠路2段130巷1~30號,121.5318607,25.1140875
,,
台北市萬華區糖?里大理街159巷1~30號,121.4959291,25.0344406
,,
台北市萬華區糖?里大理街159巷1~30號,121.4959291,25.0344406
,,
台北市中山區吉林路121~150號,121.5302736,25.0568968
,,
台北市信義區五常里永吉路225巷32弄1~30號,121.5742464,25.0469618
,,
台北市士林區明勝里通河街31~60號,121.5230311,25.0800773
,,
台北市中山區南京東路3段181~210號,121.5420283,25.0519659
,,
台北市萬華區大理街159巷1~30號,121.4963649,25.0341774
,,
台北市萬華區糖?里大理街159巷1~30號,121.4959291,25.0344406
,,
台北市北投區吉慶里實踐街56巷1~30號,121.5096215,25.1149989
,,
台北市中正區忠勤里中華路2段311巷1~30號,121.5059145,25.0291603
,,
台北市文山區興福里12鄰景華街61~90號,121.5445722,24.9951075
,,
台北市信義區雅祥里基隆路1段1~30號,121.5700134,25.0500914
,,
台北市中正區水源里汀州路3段91~120號,121.52894,25.017517
,,
台北市文山區萬芳里萬芳路31~60號,121.564454,24.999032
,,
台北市文山區萬美里萬美街1段61~90號,121.5676355,25.0023454
,,
台北市內湖區港華里港華街1~30號,121.577905,25.0823766
,,
台北市中山區樂群二路91~120號,121.5548308,25.0803113
,,
台北市松山區民權東路3段106巷1~30號,121.544982,25.061875
,,
台北市信義區福德街373巷91~120號,121.591411,25.040125
,,
台北市萬華區萬大路387巷1~30號,121.4999811,25.0214974
,,
台北市大安區龍雲里4鄰大安路2段132巷1~30號,121.5457713,25.0300455
,,
台北市松山區光復南路22巷31~60號,121.5553737,25.0469982
,,
台北市松山區健康路325巷18弄1~30號,121.5673639,25.0560985
,,
台北市萬華區青年路31~60號,,
,,
台北市松山區富錦街572巷1~30號,121.5673022,25.062547
,,
台北市萬華區和平西路3段382巷2弄1~30號,121.4913076,25.0348071
,,
台北市松山區饒河街181~210號,121.5757372,25.0507001
,,
台北市南港區舊莊街1段290巷1弄1~30號,121.624048,25.0344192
,,
台北市南港區九如里研究院路3段18巷1~30號,121.6152667,25.0353171
,,
台北市內湖區民權東路6段296巷91~120號,121.6081107,25.0705864
,,
台北市大安區市民大道4段1~30號,121.5446916,25.0452088
,,
台北市松山區敦化南路2段31~60號,121.5491635,25.0322761
,,
台北市信義區國業里松德路25巷31~60號,121.577357,25.037796
,,
台北市文山區明義里興隆路4段46巷31~60號,121.5591697,24.9877249
,,
台北市中正區羅斯福路4段52巷1~30號,121.5334323,25.0147648
,,
台北市中正區羅斯福路4段52巷1~30號,121.5334323,25.0147648
,,
台北市萬華區桂林路242巷1~30號,121.4952393,25.038011
,,
台北市萬華區西園路2段320巷61~90號,121.4909723,25.0276785
,,
台北市大安區通化里通化街19巷1~30號,121.555613,25.031771
,,
台北市信義區富台里忠孝東路5段295巷6弄31~60號,121.572415,25.0416146
,,
台北市大同區蓬萊里昌吉街50巷1~30號,121.516561,25.0656144
,,
台北市南港區三重里重陽路511~540號,121.6131989,25.0621336
,,
台北市萬華區柳鄉里1鄰桂林路242巷6弄1~30號,121.4951129,25.0378281
,,
台北市中山區吉林路379巷1~30號,121.5307389,25.0653461
,,
台北市士林區百齡里21鄰通河東街1段61~90號,121.517106,25.0826458
,,
台北市中山區中山北路1段53巷1~30號,121.522147,25.04906
,,
台北市大同區揚雅里承德路3段90巷1~30號,121.5178814,25.0664337
,,
台北市大安區龍安里青田街5巷1~30號,121.5320578,25.0286583
,,
台北市中山區北安路571~600號,121.54836,25.081057
,,
台北市中正區龍光里和平西路2段1~30號,121.5112887,25.029265
,,
台北市文山區萬興里21鄰秀明路2段115巷1~30號,121.5778317,24.9911394
,,
台北市萬華區梧州街60巷1~30號,121.4973308,25.0358445
,,
台北市萬華區民和街55巷1~30號,121.4988383,25.0256649
,,
台北市大同區酒泉街103巷1~30號,121.515248,25.072482
,,
台北市中正區水源里羅斯福路4段91~120號,121.5365139,25.0124932
,,
台北市內湖區西康里4鄰文湖街11巷1~30號,121.559845,25.0857438
,,
台北市中山區中山北路2段1~30號,121.522435,25.054144
,,
台北市中山區民生東路3段9巷1~30號,121.5376308,25.0583355
,,
台北市文山區景興路238巷1~30號,121.542867,24.990607
,,
台北市文山區景興路238巷1~30號,121.542867,24.990607
,,
台北市南港區東明里興華路64巷1~30號,121.6053803,25.0553369
,,
台北市大安區錦泰里15鄰金山南路2段121~150號,121.5273604,25.0334286
,,
台北市文山區景興路238巷1~30號,121.542867,24.990607
,,
台北市內湖區東湖里康樂街48巷18-1號,121.6173969,25.0689817
,,
台北市松山區延壽街121~150號,121.5647381,25.05707
,,
台北市信義區富台里忠孝東路5段423巷5弄1~30號,121.575264,25.041661
,,
台北市信義區廣居里忠孝東路5段372巷27弄61~90號,121.575822,25.0400079
,,
台北市南港區重陽路57巷1~30號,121.5965049,25.0561914
,,
台北市北投區中心里中和街31~60號,121.5027198,25.1380276
,,
台北市松山區敦化北路199巷100弄1~30號,121.5505448,25.0576951
,,
台北市北投區雙全街62巷1~30號,121.5006811,25.1375139
,,
台北市信義區信義路6段15巷1~30號,121.5752978,25.0352608
,,
台北市中正區網溪里廈門街91~120號,121.5174918,25.0242042
,,
台北市北投區中心里中和街31~60號,121.5027198,25.1380276
,,
台北市文山區木新里木新路2段161巷1~30號,121.569032,24.983712
,,
台北市中山區農安街125巷1~30號,121.5299213,25.0650723
,,
台北市士林區百齡里福港街211~240號,121.5176816,25.0856173
,,
台北市內湖區樂康里康樂街111巷31~60號,121.6204763,25.0704821
,,
台北市萬華區大理街170巷1~30號,121.4939732,25.0337266
,,
台北市中山區合江街20巷1~30號,121.538119,25.0550859
,,
台北市內湖區西湖里內湖路1段285巷69弄91~120號,121.5702358,25.0848348
,,
台北市信義區黎安里和平東路路3段571~600號,,
,,
台北市中正區三愛里新生南路1段121~150號,121.5331209,25.039036
,,
台北市大安區新龍里信義路3段134巷91~120號,121.5395841,25.0288804
,,
台北市文山區忠順里忠順街2段1~30號,121.562084,24.9847799
,,
台北市北投區大同路200巷1~30號,121.4638825,25.1408523
,,
台北市士林區福志里志成路22巷15弄1~30號,121.5562307,25.0468902
,,
台北市內湖區葫洲里民權東路6段296巷38之1~30號,121.607159,25.0717319
,,
台北市萬華區萬大路493巷48弄1~30號,121.499322,25.0196499
,,
台北市松山區撫遠街241~270號,121.5677337,25.060296
,,
台北市信義區松隆里松山路615巷1~30號,121.5788293,25.0368339
,,
台北市文山區興安里22鄰景華街176巷7-1號,121.5483959,24.9975187
,,
台北市中山區八德路2段210巷1~30號,121.5391638,25.0459343
,,
台北市中山區農安街1~30號,121.5267049,25.0648313
,,
台北市士林區明勝里承德路4段12巷61~90號,121.519418,25.0810864
,,
台北市中山區長安東路2段1~30號,121.5293995,25.0441303
,,
台北市大安區法治里通化街173巷1~30號,121.553726,25.027893
,,
台北市北投區吉利里20鄰石牌路1段39巷61~90號,121.5100073,25.1127767
,,
台北市信義區和平東路3段661~690號,121.5634662,25.0123018
,,
台北市信義區吳興街269巷1~30號,121.563734,25.02768
,,
台北市中正區文盛里羅斯福路3段210巷8弄1~30號,121.5292181,25.0183867
,,
台北市內湖區新明路246巷3弄1~30號,121.5836643,25.0570536
,,
台北市內湖區西湖里內湖路1段91巷121~150號,121.5626339,25.0882537
,,
台北市松山區南京東路5段211~240號,121.5578,25.05189
,,
台北市中山區南京路三民1號,121.5632419,25.0516387
,,
台北市大同區民權里民權西路160巷30弄1~30號,121.515856,25.0613975
,,
台北市信義區黎忠里和平東路3段391巷8弄31~60號,121.5576168,25.0207337
,,
台北市北投區文林里致遠一路1段125巷1~30號,121.5149386,25.1101849
,,
台北市信義區四育里虎林街46巷1~30號,121.5765989,25.047126
,,
台北市信義區四育里虎林街46巷1~30號,121.5765989,25.047126
,,
台北市北投區文林里致遠一路1段31~60號,121.5166896,25.1081636
,,
台北市大安區通化里17鄰通化街39巷62弄1~30號,121.5563679,25.0304576
,,
台北市文山區樟新里樟新街32巷1~30號,121.554827,24.978502
,,
台北市士林區義信里大南路61~90號,121.524773,25.088998
,,
台北市南港區中南里中南街74巷31~60號,121.6140897,25.053507
,,
台北市信義區大仁里福德街84巷1弄1~30號,121.581287,25.037405
,,
台北市士林區蘭雅里德行東路31~60號,121.5262084,25.1069338
,,
台北市萬華區萬大路493巷48弄1~30號,121.499322,25.0196499
,,
台北市北投區中心里8鄰泉源路31~60號,121.507298,25.141634
,,
台北市內湖區西湖里26鄰內湖路1段285巷65弄61~90號,121.5674895,25.0844438
,,
台北市中正區黎明里南陽街1~30號,121.5161821,25.0457437
,,
台北市士林區聖山里忠誠路1段147巷1~30號,121.5305816,25.1085999
,,
台北市南港區舊莊里舊莊街1段145巷6弄1~30號,121.6203309,25.0398587
,,
台北市大安區義安里敦化南路2段63巷31~60號,121.5505975,25.0310298
,,
台北市中正區幸市里臨沂街33巷1~30號,121.5299403,25.0396828
,,
台北市內湖區西湖里內湖路1段323巷14弄1~30號,121.5679793,25.0822153
,,
台北市萬華區西寧南路206巷1~30號,121.5060268,25.0384502
,,
台北市萬華區西園路2段151~180號,121.4960796,25.0292384
,,
台北市北投區中央里大興街24巷7弄1~30號,121.4990095,25.1288871
,,
台北市內湖區週美里新明路3800巷4弄1~30號,121.5823803,25.0558495
,,
台北市萬華區東園街73巷61~90號,121.4982707,25.0266245
,,
台北市松山區八德路4段106巷6弄1~30號,121.561009,25.0473729
,,
台北市北投區福興里自強街5巷61~90號,121.5119253,25.1111551
,,
台北市士林區社新里延平北路6段273巷1~30號,121.5036264,25.089143
,,
台北市內湖區湖興里成功路2段312巷31~60號,121.589341,25.066752
,,
台北市北投區吉慶里11鄰致遠二路1~30號,121.5120065,25.1142676
,,
台北市萬華區和平西路3段55巷8弄1~30號,121.5026196,25.035819
,,
台北市內湖區葫洲里2鄰民權東路6段280巷25弄6之1~30號,121.6056599,25.0709576
,,
台北市松山區八德路3段121~150號,121.5541498,25.0483058
,,
台北市大安區建安里忠孝東路4段181巷40弄1~30號,121.5506112,25.0440799
,,
台北市北投區大同里大業路481~510號,121.4956426,25.1326859
,,
台北市萬華區內江街151~180號,121.5004724,25.0419433
,,
台北市萬華區中華路2段416巷1~30號,121.5051301,25.0271884
,,
台北市文山區萬盛里羅斯福路5段61~90號,121.5392767,25.0065549
,,
台北市士林區天母里中山北路7段219巷1~30號,121.532797,25.1280356
,,
台北市松山區八德路4段106巷10弄1~30號,121.560516,25.046664
,,
台北市萬華區昆明街211~240號,121.5041103,25.0388957
,,
台北市萬華區昆明街211~240號,121.5041103,25.0388957
,,
台北市中山區新生北路22段58巷1~30號,121.5276414,25.0613138
,,
台北市中正區水源里羅斯福路4段61~90號,121.5328386,25.0158852
,,
台北市大同區至聖里大龍街259巷10弄1~30號,121.5164824,25.0714545
,,
台北市大安區古莊里浦城街13巷1~30號,121.5271805,25.0245594
,,
台北市北投區中庸里10鄰大同街181~210號,121.498989,25.1365549
,,
台北市中山區松江路37巷1~30號,121.5333815,25.0476381
,,
台北市文山區試院里和興路91~120號,121.5493757,24.9853697
,,
台北市萬華區長泰街271~300號,121.4939482,25.0212289
,,
台北市萬華區中華路1段181~210號,121.508943,25.045945
,,
台北市中正區螢雪里水源路151~180號,121.5160928,25.0236222
